Title,Currency,amountAwarded,awardDate,Organisation,fundingOrg,fundingDept,grantProgramme
Muslimah Sports Association (MSA),GBP,11000,2019-10-01,Muslimah Sports Association (MSA),Greater London Authority,Sport Team,Model City London
Barking RFC,GBP,15000,2019-10-01,Barking RFC,Greater London Authority,Sport Team,Model City London
Muslim Association Trust,GBP,5865,2019-10-01,Muslim Association Trust,Greater London Authority,Sport Team,Model City London
Barking & Dagenham Youth Dance (BDYD),GBP,15000,2019-10-01,Barking & Dagenham Youth Dance (BDYD),Greater London Authority,Sport Team,Model City London
Phoenix Community Care,GBP,15542,2019-10-01,Phoenix Community Care,Greater London Authority,Sport Team,Model City London
HR Sports Academy,GBP,25000,2019-10-01,HR Sports Academy,Greater London Authority,Sport Team,Model City London
The Markfield Project Ltd,GBP,4998,2019-10-01,The Markfield Project Ltd,Greater London Authority,Sport Team,Model City London
ARCA Generation,GBP,20000,2019-10-01,ARCA Generation,Greater London Authority,Sport Team,Model City London
Kurdish and Middle Eastern Women Organisation (KMEWO),GBP,22536,2019-10-01,Kurdish and Middle Eastern Women Organisation (KMEWO),Greater London Authority,Sport Team,Model City London
BEH Mental Health Trust,GBP,17912,2019-10-01,BEH Mental Health Trust,Greater London Authority,Sport Team,Model City London
We Move Dance,GBP,15000,2019-10-01,We Move Dance,Greater London Authority,Sport Team,Model City London
St Francis Engine Room,GBP,10000,2019-10-01,St Francis Engine Room,Greater London Authority,Sport Team,Model City London
Pyramid Health & Social Care Association (PHASCA),GBP,3000,2019-10-01,Pyramid Health & Social Care Association (PHASCA),Greater London Authority,Sport Team,Model City London
Living Under One Sun,GBP,10000,2019-10-01,Living Under One Sun,Greater London Authority,Sport Team,Model City London
Brentford FC Community Sports Trust,GBP,25000,2019-10-01,Brentford FC Community Sports Trust,Greater London Authority,Sport Team,Model City London
Reach Foundation,GBP,30000,2019-10-01,Reach Foundation,Greater London Authority,Sport Team,Model City London
Sport Impact,GBP,28957,2019-10-01,Sport Impact,Greater London Authority,Sport Team,Model City London
Age UK Hounslow,GBP,13896,2019-10-01,Age UK Hounslow,Greater London Authority,Sport Team,Model City London
Tale Be Told,GBP,10584,2019-10-01,Tale Be Told,Greater London Authority,Sport Team,Model City London
Feltham Police and Community Boxing Club,GBP,5000,2019-10-01,Feltham Police and Community Boxing Club,Greater London Authority,Sport Team,Model City London
Autism Hounslow,GBP,8916,2019-10-01,Autism Hounslow,Greater London Authority,Sport Team,Model City London
Youth Catalyst LTD,GBP,20000,2019-10-01,Youth Catalyst LTD,Greater London Authority,Sport Team,Model City London
Chance to Shine Street Programme,GBP,100000,2018-10-01,Chance to Shine,Greater London Authority,Sport Team,Impact Partnerships
Fight for Peace Programme,GBP,95000,2018-10-01,Fight for Peace,Greater London Authority,Sport Team,Impact Partnerships
Street Games Programme,GBP,120000,2018-10-01,StreetGames,Greater London Authority,Sport Team,Impact Partnerships
The Change Foundation Programme,GBP,95000,2018-10-01,The Change Foundation,Greater London Authority,Sport Team,Impact Partnerships
Street Elite,GBP,149819,2019-10-01,The Change Foundation,Greater London Authority,Sport Team,Impact Partnerships
Fight 4 Change,GBP,130061,2019-10-01,Black Prince Trust,Greater London Authority,Sport Team,Impact Partnerships
London Safer Together Through Sport,GBP,49261,2019-10-01,StreetGames UK Ltd,Greater London Authority,Sport Team,Impact Partnerships
Key 4 Life Programme,GBP,135900,2019-10-01,Key4Life,Greater London Authority,Sport Team,Impact Partnerships
Community Sports Coaches,GBP,150000,2019-10-01,SkyWay Charity,Greater London Authority,Sport Team,Impact Partnerships
Fight for Peace Programme,GBP,168752,2019-10-01,Fight for Peace International,Greater London Authority,Sport Team,Impact Partnerships
YES,GBP,122665,2019-10-01,Youth Engagement Solutions Ltd,Greater London Authority,Sport Team,Impact Partnerships
Breaking Barriers with American Flag Football,GBP,130817,2019-10-01,BIGKID Foundation,Greater London Authority,Sport Team,Impact Partnerships
Badu Sport Summer Camp,GBP,15000,2018-07-31,Badu Sport,Greater London Authority,Sport Team,Summer Activity 2018
Box Up Crime Summer Activity Programme,GBP,10000,2018-08-01,Box Up Crime,Greater London Authority,Sport Team,Summer Activity 2018
Street Tekkars Outreach,GBP,10000,2018-08-02,Hackney Wick FC,Greater London Authority,Sport Team,Summer Activity 2018
Ignite Trust Summer Activity Pogramme,GBP,10000,2018-08-03,Ignite Trust,Greater London Authority,Sport Team,Summer Activity 2018
Key4Life Summer Activity Programme,GBP,15000,2018-08-04,Key4Life,Greater London Authority,Sport Team,Summer Activity 2018
Getting Ready,GBP,20000,2018-08-05,London Youth,Greater London Authority,Sport Team,Summer Activity 2018
XLP Summer Activity Programme,GBP,10000,2018-08-06,XLP,Greater London Authority,Sport Team,Summer Activity 2018
ISC Links,GBP,62075,2018-09-01,Islington Somali Community,Greater London Authority,Sport Team,YLF Small Grants
Community Sports Coaches,GBP,90000,2018-09-01,SkyWay Charity,Greater London Authority,Sport Team,YLF Small Grants
ARCA Active,GBP,30000,2018-09-01,ARCA Generation,Greater London Authority,Sport Team,YLF Small Grants
Flying Fish (anything is possible!): supporting disadvantaged young Londoners to reach their potential,GBP,86875,2018-09-01,Get Hooked on Fishing,Greater London Authority,Sport Team,YLF Small Grants
Active Lives! (Making a difference thru' sports),GBP,88565,2018-09-01,Southside Young Leader's Academy,Greater London Authority,Sport Team,YLF Small Grants
Lambeth Riding Stars,GBP,81187,2018-09-01,Ebony Horse Club,Greater London Authority,Sport Team,YLF Small Grants
"SOHK for Schools – Changing Lives, Creating Futures",GBP,87840,2018-09-01,School of Hard Knocks,Greater London Authority,Sport Team,YLF Small Grants
Snow-Camp London,GBP,90000,2018-09-01,Snow Camp,Greater London Authority,Sport Team,YLF Small Grants
#Connecting-U-2019,GBP,6138,2019-07-01,Community Education Foundation & Lyncx (CEF Lyncx),Greater London Authority,Sport Team,YLF Summer Activity 2019
10 to Teen Summer Sports,GBP,8000,2019-07-01,Maiden Lane Community Centre Ltd,Greater London Authority,Sport Team,YLF Summer Activity 2019
"4U, By U - Summer Project",GBP,10000,2019-07-01,Badu Community CIC,Greater London Authority,Sport Team,YLF Summer Activity 2019
Active Youth Summer Programme,GBP,5388.85,2019-07-01,"Generations Active BFH (Model City, Hounslow West)",Greater London Authority,Sport Team,YLF Summer Activity 2019
All Cultures Equal United (ACE United),GBP,6175.04,2019-07-01,The Winchester Project,Greater London Authority,Sport Team,YLF Summer Activity 2019
Another Way - Schools Out,GBP,5532,2019-07-01,Harrow Club W10,Greater London Authority,Sport Team,YLF Summer Activity 2019
Box Up Tours,GBP,5000,2019-07-01,Box Up Crime,Greater London Authority,Sport Team,YLF Summer Activity 2019
Boyz 2 Men,GBP,8000,2019-07-01,DS Football Academy CIC,Greater London Authority,Sport Team,YLF Summer Activity 2019
Build it Race it Go Kart Project,GBP,5267,2019-07-01,Beckton Skills Centre,Greater London Authority,Sport Team,YLF Summer Activity 2019
Champion in Training,GBP,10000,2019-07-01,Positive Role Models,Greater London Authority,Sport Team,YLF Summer Activity 2019
DWAYNAMICS SPORTS SUMMER CAMP 2019,GBP,9979,2019-07-01,Dwayne Simpson Foundation,Greater London Authority,Sport Team,YLF Summer Activity 2019
Exploring your boundaries,GBP,6007,2019-07-01,Hackney Marsh Partnership,Greater London Authority,Sport Team,YLF Summer Activity 2019
Fighting for the future,GBP,7986,2019-07-01,Fight for Peace (UK),Greater London Authority,Sport Team,YLF Summer Activity 2019
Finsbury Park Sporting Chance,GBP,9725,2019-07-01,The Access to Sports Project,Greater London Authority,Sport Team,YLF Summer Activity 2019
Haringey Holiday Provision,GBP,9020,2019-07-01,Haringey Council,Greater London Authority,Sport Team,YLF Summer Activity 2019
Havering Summer Youth Sport,GBP,5000,2019-07-01,London Borough Havering,Greater London Authority,Sport Team,YLF Summer Activity 2019
Healthy Start,GBP,9950,2019-07-01,ML Community Enterprise,Greater London Authority,Sport Team,YLF Summer Activity 2019
HR Sports Academy Summer Youth Club,GBP,9375,2019-07-01,HR Sports Academy,Greater London Authority,Sport Team,YLF Summer Activity 2019
Key4Life 6-week Summer Programme,GBP,7880,2019-07-01,Key4Life,Greater London Authority,Sport Team,YLF Summer Activity 2019
Life chances,GBP,10000,2019-07-01,Active Sporting communities,Greater London Authority,Sport Team,YLF Summer Activity 2019
LP Youth Space,GBP,9999,2019-07-01,Stars 'n' Stripes,Greater London Authority,Sport Team,YLF Summer Activity 2019
Move It!,GBP,9940,2019-07-01,Studio 3 Arts,Greater London Authority,Sport Team,YLF Summer Activity 2019
Mushin Martial Arts Summer Activity Club,GBP,5327,2019-07-01,Mushin School Of Martial Arts,Greater London Authority,Sport Team,YLF Summer Activity 2019
Peace Ballers,GBP,8981,2019-07-01,Peace Ballers,Greater London Authority,Sport Team,YLF Summer Activity 2019
'Rainbow Sports' project,GBP,7000,2019-07-01,Southall Community Alliance (SCA),Greater London Authority,Sport Team,YLF Summer Activity 2019
RDF Summer Basketball ''Make It Happen'' Tournament,GBP,9000,2019-07-01,Right Development Foundation,Greater London Authority,Sport Team,YLF Summer Activity 2019
SBG Project,GBP,7813.84,2019-07-01,London Rangers FC,Greater London Authority,Sport Team,YLF Summer Activity 2019
Sporting for Success,GBP,9099.73,2019-07-01,Ignite Trust,Greater London Authority,Sport Team,YLF Summer Activity 2019
Street tekkars outreach,GBP,10000,2019-07-01,Hackney Wick FC,Greater London Authority,Sport Team,YLF Summer Activity 2019
Summer at SMP,GBP,9180,2019-07-01,The St Matthew's Project,Greater London Authority,Sport Team,YLF Summer Activity 2019
Summer Estate Football Project,GBP,7302.5,2019-07-01,Charlton Athletic Community Trust,Greater London Authority,Sport Team,YLF Summer Activity 2019
Summer Intensive - Changing Gears BPT & F4C,GBP,8758.2,2019-07-01,Black Prince Trust,Greater London Authority,Sport Team,YLF Summer Activity 2019
Summer Of Sweat (SOS),GBP,10000,2019-07-01,UNITED BORDERS,Greater London Authority,Sport Team,YLF Summer Activity 2019
Enfield Summer Time Sports Activities for Youths,GBP,5000,2019-07-01,African Families Focus and Relief Association,Greater London Authority,Sport Team,YLF Summer Activity 2019
Summer Skills,GBP,10000,2019-07-01,West Ham United Foundation,Greater London Authority,Sport Team,YLF Summer Activity 2019
The Right Hook,GBP,9800,2019-07-01,Limehouse Boxing Academy CIC,Greater London Authority,Sport Team,YLF Summer Activity 2019
The step up project,GBP,10000,2019-07-01,KEN TUITT FC,Greater London Authority,Sport Team,YLF Summer Activity 2019
Run With The Royals,GBP,9962,2019-07-01,LCR Community Basketball Limited,Greater London Authority,Sport Team,YLF Summer Activity 2019
Using schools as community hubs during summer holidays,GBP,10000,2019-07-01,uakctive,Greater London Authority,Sport Team,YLF Summer Activity 2019
Watersports Youth Matters (WYM),GBP,9660,2019-07-01,Restorative Justice for All,Greater London Authority,Sport Team,YLF Summer Activity 2019
What's Your Next Move,GBP,8220,2019-07-01,Southwark Council,Greater London Authority,Sport Team,YLF Summer Activity 2019
XL-Sports Summer Activity Programme,GBP,10000,2019-07-01,XLP,Greater London Authority,Sport Team,YLF Summer Activity 2019
Summer Satellite Sports Project,GBP,9975,2019-07-01,Sporting Foundation,Greater London Authority,Sport Team,YLF Summer Activity 2019
Developing Young Leaders,GBP,134705,2020-02-01,London Youth,Greater London Authority,Sport Team,Workforce
Organisational Training & Development programme,GBP,182990,2020-02-01,Sported,Greater London Authority,Sport Team,Workforce
Newham Council,GBP,25000,2020-03-06,Newham Council,Greater London Authority,"Royal Docks, Housing and Land",NA
Discover Children's Story Centre,GBP,30000,2020-02-12,Discover Children's Story Centre,Greater London Authority,"Royal Docks, Housing and Land",NA
Thames Festival Trust,GBP,50000,2019-06-28,Thames Festival Trust,Greater London Authority,NA,NA
UP Projects,GBP,120000,2019-02-01,UP Projects,Greater London Authority,"Royal Docks, Housing and Land",Public Art
Fifty Plus elderly Asian Club,GBP,2370,2019-07-01,Fifty Plus elderly Asian Club,Greater London Authority,Culture and Creative Industries,Culture Seeds
The Alhambra Tiling Project,GBP,4000,2019-07-01,The Alhambra Tiling Project,Greater London Authority,Culture and Creative Industries,Culture Seeds
Millfields Users Group,GBP,1000,2019-07-01,Millfields Users Group,Greater London Authority,Culture and Creative Industries,Culture Seeds
WEPT (Women Empowerment Project & Training),GBP,4964,2019-07-01,WEPT (Women Empowerment Project & Training),Greater London Authority,Culture and Creative Industries,Culture Seeds
Richmond EAL Friendship Group,GBP,5000,2019-07-01,Richmond EAL Friendship Group,Greater London Authority,Culture and Creative Industries,Culture Seeds
Connected Routes C.I.C.,GBP,5000,2019-07-01,Connected Routes C.I.C.,Greater London Authority,Culture and Creative Industries,Culture Seeds
Place At My Table,GBP,4857,2019-07-01,Place At My Table,Greater London Authority,Culture and Creative Industries,Culture Seeds
Grant to individual,GBP,5000,2019-07-01,Grant to individual,Greater London Authority,Culture and Creative Industries,Culture Seeds
Grant to individual,GBP,5000,2019-07-01,Grant to individual,Greater London Authority,Culture and Creative Industries,Culture Seeds
Grant to individual,GBP,5000,2019-07-01,Grant to individual,Greater London Authority,Culture and Creative Industries,Culture Seeds
Bombo Productions,GBP,4320,2019-07-01,Bombo Productions,Greater London Authority,Culture and Creative Industries,Culture Seeds
Deptford Society,GBP,4716,2019-07-01,Deptford Society,Greater London Authority,Culture and Creative Industries,Culture Seeds
The Common House,GBP,3086,2019-07-01,The Common House,Greater London Authority,Culture and Creative Industries,Culture Seeds
Grant to individual,GBP,1940,2019-07-01,Grant to individual,Greater London Authority,Culture and Creative Industries,Culture Seeds
Grant to individual,GBP,2963,2019-07-01,Grant to individual,Greater London Authority,Culture and Creative Industries,Culture Seeds
Grant to individual,GBP,4933,2019-07-01,Grant to individual,Greater London Authority,Culture and Creative Industries,Culture Seeds
